file_name,text
data/test/File1-it.wav,mi piace molto il corso di speech recognition
data/test/File2-it.wav,il corriere è arrivato a casa in ritardo
data/test/File3-it.wav,sono veramente stanco penso che andrò a dormire
data/test/File4-it.wav,non capisco come sia possibile che a praga ci sia così tanto freddo ad inizio maggio
data/test/File5-it.wav,mandami liban che poi ti giro i soldi sul conto corrente
data/test/File6-it.wav,ma quindi questestate volevi andare ad un concerto o preferivi andarti a fare una vacanza da qualche parte
data/test/File7-it.wav,no vabbè fra assurdo e lei che ha detto
data/test/File8-it.wav,ti giuro sarebbe un mio sogno farmi un coast to coast negli stati uniti tu veramente non hai idea
data/test/File9-it.wav,non so perchè però quando fuori cè il sole io sono sempre un sacco contento mentre quando piove sono proprio triste
data/test/File10-it.wav,oddio che ansia ho un esame tra due ore e non ce la faccio più
data/test/File11-it.wav,che sete riesci a passarmi la bottiglia d'acqua
data/test/File12-it.wav,la cosa più importante quando ti alleni è spingere al massimo se no resti secco
data/test/File13-it.wav,penso che lerasmus sia stato uno dei periodi migliori della mia vita
data/test/File14-it.wav,le cuffie con il noise cancellation sono una delle cose migliori che luomo potesse inventare
data/test/File15-it.wav,allora quandè che vieni a trovarmi lhai preso il biglietto
